checked_at,AA1239,AA1479,AA1509,AA2578,AA2607,AA3022,AA3048,AA3067,AA3324,AA802,B6111,B6112,DL2570,DL2828,UA1117,UA1186,UA1349,UA1414,UA1606,UA1706,UA2631,UA503,UA717
2026-08-19 09:23:30,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 09:33:35,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 09:43:28,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 09:53:34,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:03:36,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:13:30,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:23:27,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:33:28,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:43:33,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 10:53:27,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 11:03:35,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 11:13:29,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 11:23:40,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 11:33:28,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
