checked_at,AA1011,AA2448,AA3551,AA4162,DL1544,DL1567,DL2028,DL724,UA1593,UA215,UA2232,UA2773,UA2805,UA307,UA576
2026-08-19 18:25:18,69.00,69.00,164.00,69.00,409.00,304.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 18:35:14,69.00,69.00,164.00,69.00,409.00,304.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 18:45:17,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 18:55:13,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:05:17,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:15:13,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:25:17,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:35:27,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:45:08,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 19:55:11,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:05:20,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:15:29,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:25:10,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:35:29,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,86.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:45:22,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,86.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 20:55:31,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,86.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:05:30,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,86.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:15:09,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,86.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:25:09,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:35:23,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:45:25,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 21:55:13,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 22:05:29,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 22:15:09,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 22:25:15,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 22:35:27,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 22:45:11,69.00,69.00,164.00,69.00,259.00,259.00,114.00,114.00,59.00,98.00,59.00,59.00,59.00,59.00,59.00
