checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-19 13:32:32,159.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 13:42:31,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 13:52:33,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:02:40,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:12:35,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:22:30,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:32:28,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:42:38,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 14:52:28,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 15:02:33,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 15:12:24,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 15:22:31,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 15:32:55,199.00,,159.00,159.00,,,,,139.00,139.00,169.00,,,159.00,,,159.00
2026-08-19 15:42:40,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
